Country Code,country_name,electricity_access_%,prim_school_enrol_rate,ARV_coverage,battle_deaths,birth_rate,child_labour_%,children_not_in_school_%,CPI,GDP_growth,gini_index,income_top_10%,income_bottom_10%,internet_coverage,under5_mortality,smokers_%,male_femaLe_labour_force_part,real_eff_xr,renew_elect_output,rural_pop_%,youth_not_in_ed_emply,suicide_mortality,time_to_start_bus,alcohol_cons_pc,unemployment_%,women_married_by_15
AFG,Afghanistan,71.5,,5.0,17278.0,38.8,,,132.88,1.45,,,,8.26,70.2,26.0,,,86.05,75.2,,4.0,8.5,0.01,9.0,8.8
ALB,Albania,99.98,97.8,39.0,,11.72,,,111.4,2.22,32.8,24.8,3.2,56.9,9.6,25.1,73.33,,100.0,42.57,29.82,4.8,5.0,5.04,17.19,
AGO,Angola,42.0,,24.0,,42.02,,,159.7,0.94,,,,22.0,88.3,,,,53.17,36.55,,6.5,36.0,7.76,16.45,
ARG,Argentina,99.69,99.84,59.0,,17.35,,0.87,,2.73,,,,68.04,11.6,26.6,,,28.14,8.5,,8.3,24.5,8.57,7.58,
ARM,Armenia,100.0,93.03,,9.0,14.64,,0.37,124.77,3.2,32.4,26.7,3.4,59.1,14.4,26.9,74.85,103.09,28.34,36.92,35.56,6.2,5.0,4.98,12.31,
AUS,Australia,100.0,97.11,78.0,,12.9,,0.03,112.04,2.2,,,,84.56,3.9,15.7,83.15,89.82,13.64,14.3,9.8,13.2,2.5,10.39,6.06,
AUT,Austria,100.0,88.63,,,9.8,,1.34,110.69,1.01,30.5,23.8,3.0,83.94,3.7,31.2,83.93,98.33,76.49,42.28,11.04,16.0,22.0,12.19,5.8,
AZE,Azerbaijan,100.0,94.26,23.0,63.0,17.2,,1.16,117.73,1.09,,,,77.0,26.3,25.2,91.09,,7.04,45.29,,4.1,3.5,1.44,4.96,
BHR,Bahrain,100.0,98.03,33.0,,15.79,,0.4,110.53,2.49,,,,93.48,7.4,16.4,50.08,105.75,0.0,11.0,,7.4,9.4,1.89,1.17,
BGD,Bangladesh,74.0,,14.0,,19.16,,,144.56,6.55,,,,12.9,38.0,38.9,,,1.23,65.69,,3.4,19.5,0.0,4.38,
BLR,Belarus,97.37,94.26,33.0,,12.5,,4.58,387.09,-3.83,25.6,21.2,4.1,62.23,4.1,33.0,108.37,,0.82,22.82,,24.3,9.0,11.04,5.88,
BEL,Belgium,100.0,98.38,,,10.8,,1.85,108.63,2.04,27.7,22.2,3.4,85.05,4.1,25.7,81.53,94.51,20.8,2.12,12.18,18.6,4.5,11.24,8.48,
BEN,Benin,29.62,,48.0,,39.02,,,109.74,1.78,47.8,37.6,1.0,11.25,97.9,8.6,,,5.56,54.3,,8.1,12.5,8.1,1.81,
BTN,Bhutan,95.36,90.13,15.0,,17.15,,11.38,148.66,6.64,,,,39.8,33.2,,78.59,,99.99,61.32,,4.5,15.0,0.32,2.45,
BOL,Bolivia,91.52,88.7,25.0,,23.74,13.92,,133.65,4.86,46.7,34.8,1.1,37.49,31.6,15.6,68.66,137.63,31.4,31.61,14.56,6.4,49.0,4.31,3.11,
BIH,Bosnia and Herzegovina,99.7,,,,8.84,,11.35,,4.31,,,,52.6,6.3,37.7,60.95,,35.52,52.83,28.35,10.7,82.0,5.95,27.69,
BWA,Botswana,62.13,,73.0,,26.41,,,132.88,-4.85,53.3,41.5,1.5,37.31,45.4,21.7,,,0.03,32.84,,19.0,48.0,7.08,18.88,
BRA,Brazil,99.71,96.85,63.0,,14.73,2.54,4.41,138.39,-3.55,51.9,40.9,1.2,58.33,15.9,14.9,70.4,69.61,73.97,14.23,22.1,5.9,86.0,8.2,8.54,
BGR,Bulgaria,96.58,91.99,33.0,,9.2,,3.34,106.61,3.4,38.6,28.7,1.5,56.66,8.1,40.7,80.92,97.08,17.99,26.01,19.28,9.8,25.0,11.44,9.14,
BFA,Burkina Faso,16.15,69.96,54.0,,40.09,,32.26,107.75,3.92,,,,6.55,101.1,17.0,,,9.35,72.47,,8.0,13.0,9.66,4.53,
BDI,Burundi,7.89,,50.0,185.0,41.32,,8.18,154.02,-3.9,,,,2.0,67.9,13.9,,117.52,82.71,87.92,,6.4,4.0,4.19,1.52,
KHM,Cambodia,62.72,95.56,66.0,,22.34,,5.23,117.5,6.97,,,,18.0,31.7,25.2,85.02,,46.42,77.81,6.59,5.1,87.0,7.06,0.39,
